accountingservice,15.693099999963305,10.978799999924377,7.252185714298061,15.973600000039571,9.151228571427055,NaN,5.1370833333348855,18.52831666668256,22.20403333331665,19.24924999999348,19.20959000005387,17.543874999993324,29.39550000001327
adservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cartservice,14.684998830506792,10.091343053762966,NaN,21.976451977871115,13.901902360943,NaN,10.89766267633591,14.092100438217573,14.268330976760979,13.176174315571537,13.085056130398732,21.23123952383579,18.93781252545301
checkoutservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
currencyservice,129039.81684860913,128937.34517383575,136590.1213424027,106716.1778951002,135853.76978223602,124010.44374370575,124154.01984341076,123299.58511575969,107626.72419015234,93906.91375443494,128635.22375708504,152645.3239297581,121193.13316050779
emailservice,7.09128974999876,4.682041999993089,NaN,10.918409777777319,7.623540535718608,NaN,10.478802416668259,6.891521666662811,5.5551102777697245,7.768124999995052,5.597105200000078,14.618044624999431,6.775403000007827
flagd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frauddetectionservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frontend,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frontend-web,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
frontendproxy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageprovider,0,0,0,0,0,0,0,0,0,0,0,0,0
loadgenerator,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
paymentservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
productcatalogservice,0.38943261928206974,0.31179384198855464,0.3130187704816434,0.3512928166739805,0.43695363221482064,0.31913214549768737,0.3935508537115421,0.3868006974046554,0.38505893593123675,0.34848032863039435,0.32021813734640825,0.3422862559779577,0.3044293518505512
quoteservice,0.7225433636366977,NaN,0.7020948000004636,1.0804612222223113,0.6453929999988759,NaN,0.6460738461539153,0.6860285000006267,0.6378716666673274,0.6639456666659953,1.3174004000004287,0.6137695833332941,0.6559440000003178
recommendationservice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
shippingservice,10688.537314559328,NaN,NaN,12.915399770273174,63891.346611605906,NaN,1372.8225416642538,572.936858496625,149871.00835768104,9469.268849330985,66254.78863650806,73401.39380257708,7.028745496704476
